n_ops, s_size, gpu, cpu
4096,20000,3.552e-05,4.16e-06
4096,20000,3.6576e-05,4.352e-06
4096,20000,4.0736e-05,4.256e-06
4096,200000,0.000272288,4.288e-06
4096,200000,0.000166848,4.416e-06
4096,200000,0.000190752,4.352e-06
4096,200000,0.000164384,4.32e-06
4096,200000,0.000164352,4.224e-06
4096,200000,0.000162592,4.672e-06
4096,200000,0.000163744,4.32e-06
4096,200000,0.000162944,4.352e-06
4096,200000,0.00019888,4.448e-06
4096,200000,0.000163616,4.384e-06
8192,2000,2.7712e-05,8.064e-06
8192,2000,2.4576e-05,8.032e-06
8192,2000,2.5216e-05,8.064e-06
8192,2000,2.3872e-05,8.064e-06
8192,2000,2.448e-05,8.512e-06
8192,2000,2.4704e-05,8e-06
8192,2000,2.5152e-05,1.0496e-05
8192,2000,2.4e-05,8e-06
8192,2000,2.3968e-05,8.032e-06
8192,2000,2.3584e-05,8e-06
8192,20000,3.6288e-05,7.904e-06
8192,20000,3.7632e-05,1.0176e-05
8192,20000,3.6192e-05,7.744e-06
8192,20000,3.392e-05,7.936e-06
8192,20000,3.7408e-05,8e-06
8192,20000,6.1728e-05,7.968e-06
8192,20000,3.5584e-05,1.0656e-05
8192,20000,3.5712e-05,7.904e-06
8192,20000,3.6768e-05,7.872e-06
8192,20000,3.616e-05,8.352e-06
8192,200000,0.000285984,7.968e-06
8192,200000,0.000165856,8.064e-06
8192,200000,0.000164992,7.904e-06
8192,200000,0.000164768,8.032e-06
8192,200000,0.000167808,8.128e-06
8192,200000,0.000164544,8e-06
8192,200000,0.000165152,7.584e-06
8192,200000,0.000161696,8.064e-06
8192,200000,0.000163808,8e-06
8192,200000,0.000163584,8e-06
16384,2000,2.8608e-05,1.5072e-05
16384,2000,2.6208e-05,1.4784e-05
16384,2000,2.4256e-05,1.5264e-05
16384,2000,2.3488e-05,1.5264e-05
16384,2000,2.3968e-05,1.5232e-05
16384,2000,2.4128e-05,1.5264e-05
16384,2000,2.6272e-05,1.4272e-05
16384,2000,2.3296e-05,2.0128e-05
16384,2000,2.4e-05,1.552e-05
16384,2000,2.3584e-05,1.4752e-05
16384,20000,3.7504e-05,1.4112e-05
16384,20000,3.7088e-05,1.5328e-05
16384,20000,3.5328e-05,1.408e-05
16384,20000,3.488e-05,1.5456e-05
16384,20000,3.6032e-05,2.0384e-05
16384,20000,3.7248e-05,1.744e-05
16384,20000,3.6288e-05,1.5264e-05
16384,20000,3.3824e-05,1.5232e-05
16384,20000,3.4944e-05,1.5104e-05
16384,20000,3.3984e-05,2.064e-05
16384,200000,0.000283264,1.6512e-05
16384,200000,0.000165056,1.4304e-05
16384,200000,0.000171616,1.4368e-05
16384,200000,0.00017152,1.5232e-05
16384,200000,0.0001696,1.5264e-05
16384,200000,0.000172128,1.4912e-05
16384,200000,0.000163616,1.5424e-05
16384,200000,0.000170784,4.4384e-05
16384,200000,0.000163328,1.5296e-05
16384,200000,0.000164256,1.4848e-05
32768,2000,2.7168e-05,2.9696e-05
32768,2000,2.496e-05,2.9856e-05
32768,2000,2.5504e-05,2.944e-05
32768,2000,2.5216e-05,3.4176e-05
32768,2000,2.3648e-05,2.96e-05
32768,2000,2.3712e-05,3.8976e-05
32768,2000,2.3648e-05,2.8288e-05
32768,2000,2.4224e-05,2.9888e-05
32768,2000,2.5216e-05,2.9472e-05
32768,2000,2.3584e-05,2.9056e-05
32768,20000,3.8368e-05,3.0112e-05
32768,20000,3.5296e-05,2.9824e-05
32768,20000,3.4848e-05,2.8832e-05
32768,20000,3.6064e-05,3.856e-05
32768,20000,3.4656e-05,3.0432e-05
32768,20000,3.5264e-05,2.8736e-05
32768,20000,3.5424e-05,2.9856e-05
32768,20000,3.504e-05,3.792e-05
32768,20000,3.5168e-05,2.8352e-05
32768,20000,3.5232e-05,2.9696e-05
32768,200000,0.00027216,2.9984e-05
32768,200000,0.000165216,2.9888e-05
32768,200000,0.000165056,2.9344e-05
32768,200000,0.00134608,2.9056e-05
32768,200000,0.001067744,3.0144e-05
32768,200000,0.000308032,2.912e-05
32768,200000,0.000270048,2.9952e-05
32768,200000,0.000192992,2.736e-05
32768,200000,0.000169664,2.7488e-05
32768,200000,0.0001656,3.264e-05
65536,2000,2.7968e-05,7.984e-05
65536,2000,2.5024e-05,5.936e-05
65536,2000,2.4672e-05,5.744e-05
65536,2000,2.5824e-05,5.7504e-05
65536,2000,2.5664e-05,5.504e-05
65536,2000,4.9376e-05,5.6544e-05
65536,2000,2.384e-05,7.9008e-05
65536,2000,2.3872e-05,7.1488e-05
65536,2000,2.496e-05,5.9008e-05
65536,2000,2.5312e-05,6.72e-05
